Rule_Number,Job_Name,Rule_Execution,Program_Type,Module_Name,Sub_Module,Input_File,Input_File_Layout,Input_File_Length,Output_File,Output_File_Layout,Business_Rule_Category,Linkage_Columns,Detailed_Business_Rule,SQL_Decision_Control_Statements,SQL_Function,Code_Reference,Bounded_Context,DB2_Table_Name,Review_Comments
BR-CBADMCDJ-013,CBADMCDJ,13,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COACT00S (ACCOUNT MENU) with the CICS region under group CARDDEMO. However, no source mapset file matching COACT00S exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COACT00S)   GROUP(CARDDEMO)\n       DESCRIPTION(ACCOUNT MENU),N/A,56-57,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COACT00S missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-014,CBADMCDJ,14,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the BMS mapset COACTVWS (VIEW ACCOUNT) with the CICS region under group CARDDEMO. The mapset binds the BMS presentation layer source (COACTVW.bms) to the runtime so transactions can use SEND MAP and RECEIVE MAP against this screen layout. The 3270 screen format is loaded into CICS map storage at INSTALL time.,DEFINE MAPSET(COACTVWS)   GROUP(CARDDEMO)\n       DESCRIPTION(VIEW ACCOUNT),N/A,58-59,CICS Resource Registration,N/A,None
BR-CBADMCDJ-015,CBADMCDJ,15,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the BMS mapset COACTUPS (UPDATE ACCOUNT) with the CICS region under group CARDDEMO. The mapset binds the BMS presentation layer source (COACTUP.bms) to the runtime so transactions can use SEND MAP and RECEIVE MAP against this screen layout. The 3270 screen format is loaded into CICS map storage at INSTALL time.,DEFINE MAPSET(COACTUPS)   GROUP(CARDDEMO)\n       DESCRIPTION(UPDATE ACCOUNT),N/A,60-61,CICS Resource Registration,N/A,None
BR-CBADMCDJ-016,CBADMCDJ,16,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COACTDES (DEACTIVATE ACCOUNT) with the CICS region under group CARDDEMO. However, no source mapset file matching COACTDES exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COACTDES)   GROUP(CARDDEMO)\n       DESCRIPTION(DEACTIVATE ACCOUNT),N/A,62-63,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COACTDES missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-017,CBADMCDJ,17,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Duplicate registration of dangling mapset COACT00S (CARD MENU) - the mapset is referenced again under a different functional description but has no source file in app/bms/. The duplicate DEFINE compounds the integrity issue: not only is the mapset missing, it is registered twice. Both registrations will fail at runtime.",DEFINE MAPSET(COACT00S)   GROUP(CARDDEMO)\n       DESCRIPTION(CARD MENU),N/A,65-66,Dangling Reference,N/A,Duplicate DEFINE and HIGH SEVERITY: dangling reference - consolidate before migration; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-018,CBADMCDJ,18,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Duplicate registration of BMS mapset COACTVWS (VIEW CARD) - the same mapset was already defined earlier in this same DFHCSDUP run. DFHCSDUP will accept the second DEFINE but emit a duplicate-resource warning; the second definition silently overrides the first. Indicates the same physical BMS map serves both the Account and Card contexts in CardDemo.,DEFINE MAPSET(COACTVWS)   GROUP(CARDDEMO)\n       DESCRIPTION(VIEW CARD),N/A,67-68,CICS Resource Registration,N/A,Duplicate DEFINE - same resource defined twice in same group; consolidate before migration
BR-CBADMCDJ-019,CBADMCDJ,19,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Duplicate registration of BMS mapset COACTUPS (UPDATE CARD) - the same mapset was already defined earlier in this same DFHCSDUP run. DFHCSDUP will accept the second DEFINE but emit a duplicate-resource warning; the second definition silently overrides the first. Indicates the same physical BMS map serves both the Account and Card contexts in CardDemo.,DEFINE MAPSET(COACTUPS)   GROUP(CARDDEMO)\n       DESCRIPTION(UPDATE CARD),N/A,69-70,CICS Resource Registration,N/A,Duplicate DEFINE - same resource defined twice in same group; consolidate before migration
BR-CBADMCDJ-020,CBADMCDJ,20,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Duplicate registration of dangling mapset COACTDES (DEACTIVATE CARD) - the mapset is referenced again under a different functional description but has no source file in app/bms/. The duplicate DEFINE compounds the integrity issue: not only is the mapset missing, it is registered twice. Both registrations will fail at runtime.",DEFINE MAPSET(COACTDES)   GROUP(CARDDEMO)\n       DESCRIPTION(DEACTIVATE CARD),N/A,71-72,Dangling Reference,N/A,Duplicate DEFINE and HIGH SEVERITY: dangling reference - consolidate before migration; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-021,CBADMCDJ,21,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the BMS mapset COTRN00S (TRANSACTION) with the CICS region under group CARDDEMO. The mapset binds the BMS presentation layer source (COTRN00.bms) to the runtime so transactions can use SEND MAP and RECEIVE MAP against this screen layout. The 3270 screen format is loaded into CICS map storage at INSTALL time.,DEFINE MAPSET(COTRN00S)   GROUP(CARDDEMO)\n       DESCRIPTION(TRANSACTION),N/A,74-75,CICS Resource Registration,N/A,None
BR-CBADMCDJ-022,CBADMCDJ,22,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COTRNVWS (TRANSACTION REPORT) with the CICS region under group CARDDEMO. However, no source mapset file matching COTRNVWS exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COTRNVWS)   GROUP(CARDDEMO)\n       DESCRIPTION(TRANSACTION REPORT),N/A,76-77,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COTRNVWS missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-023,CBADMCDJ,23,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COTRNVDS (TRANSACTION DETAILS) with the CICS region under group CARDDEMO. However, no source mapset file matching COTRNVDS exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COTRNVDS)   GROUP(CARDDEMO)\n       DESCRIPTION(TRANSACTION DETAILS),N/A,78-79,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COTRNVDS missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-024,CBADMCDJ,24,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COTRNATS (ADD TRANSACTIONS) with the CICS region under group CARDDEMO. However, no source mapset file matching COTRNATS exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COTRNATS)   GROUP(CARDDEMO)\n       DESCRIPTION(ADD TRANSACTIONS),N/A,80-81,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COTRNATS missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-025,CBADMCDJ,25,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the BMS mapset COBIL00S (BILL PAY SETUP) with the CICS region under group CARDDEMO. The mapset binds the BMS presentation layer source (COBIL00.bms) to the runtime so transactions can use SEND MAP and RECEIVE MAP against this screen layout. The 3270 screen format is loaded into CICS map storage at INSTALL time.,DEFINE MAPSET(COBIL00S)   GROUP(CARDDEMO)\n       DESCRIPTION(BILL PAY SETUP),N/A,83-84,CICS Resource Registration,N/A,None
BR-CBADMCDJ-026,CBADMCDJ,26,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COADM00S (ADMIN MENU) with the CICS region under group CARDDEMO. However, no source mapset file matching COADM00S exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COADM00S)   GROUP(CARDDEMO)\n       DESCRIPTION(ADMIN MENU),N/A,86-87,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COADM00S missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-027,CBADMCDJ,27,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COTSTP1S (PGM1 TEST) with the CICS region under group CARDDEMO. However, no source mapset file matching COTSTP1S exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COTSTP1S)   GROUP(CARDDEMO)\n       DESCRIPTION(PGM1 TEST),N/A,89-90,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COTSTP1S missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-028,CBADMCDJ,28,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COTSTP2S (PGM2 TEST) with the CICS region under group CARDDEMO. However, no source mapset file matching COTSTP2S exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COTSTP2S)   GROUP(CARDDEMO)\n       DESCRIPTION(PGM2 TEST),N/A,91-92,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COTSTP2S missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-029,CBADMCDJ,29,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COTSTP3S (PGM3 TEST) with the CICS region under group CARDDEMO. However, no source mapset file matching COTSTP3S exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COTSTP3S)   GROUP(CARDDEMO)\n       DESCRIPTION(PGM3 TEST),N/A,93-94,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COTSTP3S missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-030,CBADMCDJ,30,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers BMS mapset COTSTP4S (PGM4 TEST) with the CICS region under group CARDDEMO. However, no source mapset file matching COTSTP4S exists in app/bms/ - the resource is registered but no compiled mapset module backs it. Any transaction that issues SEND MAP or RECEIVE MAP against this mapset will fail at runtime with a MAPFAIL condition.",DEFINE MAPSET(COTSTP4S)   GROUP(CARDDEMO)\n       DESCRIPTION(PGM4 TEST),N/A,95-96,Dangling Reference,N/A,HIGH SEVERITY: Source mapset COTSTP4S missing from app/bms/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-031,CBADMCDJ,31,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the COBOL program COSGN00C (LOGIN) with the CICS region under group CARDDEMO associated with transaction identifier CC00. The data location is set to ANY-storage to support 31-bit addressing. CICS will load the program from the COM2DOLL library at first invocation.,DEFINE PROGRAM(COSGN00C) GROUP(CARDDEMO) DA(ANY) TRANSID(CC00)\n       DESCRIPTION(LOGIN),N/A,98-99,CICS Resource Registration,N/A,Multi-program CALL chain via TRANSID dispatching - identify as microservice or Step Function boundary in target architecture
BR-CBADMCDJ-032,CBADMCDJ,32,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers a COBOL program named COACT00C with CICS as ""ACCOUNT MAIN MENU"" under group CARDDEMO. However, the source program COACT00C.cbl is not present in the application source tree, meaning the registration creates a CICS catalog entry pointing to a load module that may not exist. Any transaction routed to this program will fail at execution time with an AEY9 abend (program not found in load library).",DEFINE PROGRAM(COACT00C) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(ACCOUNT MAIN MENU),N/A,101-102,Dangling Reference,N/A,HIGH SEVERITY: Source program COACT00C.cbl missing from app/cbl/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-033,CBADMCDJ,33,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the COBOL program COACTVWC (VIEW ACCOUNT) with the CICS region under group CARDDEMO. The data location is set to ANY-storage to support 31-bit addressing. CICS will load the program from the COM2DOLL library at first invocation.,DEFINE PROGRAM(COACTVWC) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(VIEW ACCOUNT),N/A,103-104,CICS Resource Registration,N/A,None
BR-CBADMCDJ-034,CBADMCDJ,34,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the COBOL program COACTUPC (UPDATE ACCOUNT) with the CICS region under group CARDDEMO. The data location is set to ANY-storage to support 31-bit addressing. CICS will load the program from the COM2DOLL library at first invocation.,DEFINE PROGRAM(COACTUPC) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(UPDATE ACCOUNT),N/A,105-106,CICS Resource Registration,N/A,None
BR-CBADMCDJ-035,CBADMCDJ,35,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,"Registers a COBOL program named COACTDEC with CICS as ""DEACTIVATE ACCOUNT"" under group CARDDEMO. However, the source program COACTDEC.cbl is not present in the application source tree, meaning the registration creates a CICS catalog entry pointing to a load module that may not exist. Any transaction routed to this program will fail at execution time with an AEY9 abend (program not found in load library).",DEFINE PROGRAM(COACTDEC) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(DEACTIVATE ACCOUNT),N/A,107-108,Dangling Reference,N/A,HIGH SEVERITY: Source program COACTDEC.cbl missing from app/cbl/ - registration cannot be honored at runtime; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-036,CBADMCDJ,36,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,Duplicate registration of dangling program COACT00C (CARD MENU) - the program is referenced again under a different functional description but has no source file in app/cbl/. Both registrations will fail at runtime.,DEFINE PROGRAM(COACT00C) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(CARD MENU),N/A,110-111,Dangling Reference,N/A,Duplicate DEFINE and HIGH SEVERITY: dangling reference - consolidate before migration; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-037,CBADMCDJ,37,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Duplicate registration of program COACTVWC (VIEW CARD) - the same program is referenced again under a different functional description (Card context vs. Account context). DFHCSDUP will silently override the first DEFINE with the second. Indicates the same physical program serves both Account and Card contexts in CardDemo.,DEFINE PROGRAM(COACTVWC) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(VIEW CARD),N/A,112-113,CICS Resource Registration,N/A,Duplicate DEFINE - same resource defined twice in same group; consolidate before migration
BR-CBADMCDJ-038,CBADMCDJ,38,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Duplicate registration of program COACTUPC (UPDATE CARD) - the same program is referenced again under a different functional description (Card context vs. Account context). DFHCSDUP will silently override the first DEFINE with the second. Indicates the same physical program serves both Account and Card contexts in CardDemo.,DEFINE PROGRAM(COACTUPC) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(UPDATE CARD),N/A,114-115,CICS Resource Registration,N/A,Duplicate DEFINE - same resource defined twice in same group; consolidate before migration
BR-CBADMCDJ-039,CBADMCDJ,39,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Error-Handling,N/A,Duplicate registration of dangling program COACTDEC (DEACTIVATE CARD) - the program is referenced again under a different functional description but has no source file in app/cbl/. Both registrations will fail at runtime.,DEFINE PROGRAM(COACTDEC) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(DEACTIVATE CARD),N/A,116-117,Dangling Reference,N/A,Duplicate DEFINE and HIGH SEVERITY: dangling reference - consolidate before migration; obtain source or remove DEFINE before deployment
BR-CBADMCDJ-040,CBADMCDJ,40,JCL,DFHCSDUP,STEP1.SYSIN,SYSIN,N/A (free-format DFHCSDUP control deck),N/A,DFHCSD,N/A (binary CSD VSAM file),Initialization,N/A,Registers the COBOL program COTRN00C (TRANSACTION) with the CICS region under group CARDDEMO. The data location is set to ANY-storage to support 31-bit addressing. CICS will load the program from the COM2DOLL library at first invocation.,DEFINE PROGRAM(COTRN00C) GROUP(CARDDEMO) DA(ANY)\n       DESCRIPTION(TRANSACTION),N/A,118-119,CICS Resource Registration,N/A,None
